project_name,client,country,sector,summary,deadline,program,budget,url,raw_text,scraped_date
Description Country Project Title Notice Type Language Published Date,World Bank,,,,,,,https://projects.worldbank.org/en/projects-operations/projects-home,Description Country Project Title Notice Type Language Published Date,2025-08-09T20:31:43.775066
"Rodrigues Airport Project Mauritius Rodrigues Airport Project - P180266 General Procurement Notice English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00340771,"Rodrigues Airport Project Mauritius Rodrigues Airport Project - P180266 General Procurement Notice English August 8, 2025",2025-08-09T20:31:43.814067
"TECHNICAL ASSISTANCE - For The Detailed Engineering Design Of A New Fishing Port And Multi-Purpose Jetties On Santiago And São Nicolau Islands And Including Environmental And Social Impact Assessments Cabo Verde Resilient Tourism and Blue Economy Development in Cabo Verde Project - P176981 Request for Expression of Interest English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00368600,"TECHNICAL ASSISTANCE - For The Detailed Engineering Design Of A New Fishing Port And Multi-Purpose Jetties On Santiago And São Nicolau Islands And Including Environmental And Social Impact Assessments Cabo Verde Resilient Tourism and Blue Economy Development in Cabo Verde Project - P176981 Request for Expression of Interest English August 8, 2025",2025-08-09T20:31:43.854066
"For Selection of Project Management Consultancy for implementation of World Bank funded ‘Maharashtra Strengthening Institutional Capabilities in Districts for Enabling Growth MahaSTRIDE’ in Directorate of Economics and Statistics, GoM India Maharashtra Strengthening Institutional Capabilities in Districts for Enabling Growth Operation - P181463 Request for Expression of Interest English August 8, 2025",World Bank,India,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00371893,"For Selection of Project Management Consultancy for implementation of World Bank funded ‘Maharashtra Strengthening Institutional Capabilities in Districts for Enabling Growth MahaSTRIDE’ in Directorate of Economics and Statistics, GoM India Maharashtra Strengthening Institutional Capabilities in Districts for Enabling Growth Operation - P181463 Request for Expression of Interest English August 8, 2025",2025-08-09T20:31:43.938063
"Procurement of SCIENCE LABORATORY EQUIPMENT, ACCESSORIES, AND APPLIANCES FOR SCHOOLS IN YEREVAN AND THE REGIONS OF VAYOTS DZOR AND SYUNIK Armenia Education Improvement Project - P130182 Contract Award English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372214,"Procurement of SCIENCE LABORATORY EQUIPMENT, ACCESSORIES, AND APPLIANCES FOR SCHOOLS IN YEREVAN AND THE REGIONS OF VAYOTS DZOR AND SYUNIK Armenia Education Improvement Project - P130182 Contract Award English August 8, 2025",2025-08-09T20:31:43.999065
"Procurement of Cooking Demonstration Kits on Complementary feed Practice Ethiopia Ethiopia Human Capital Operation - P172284 Contract Award English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372346,"Procurement of Cooking Demonstration Kits on Complementary feed Practice Ethiopia Ethiopia Human Capital Operation - P172284 Contract Award English August 8, 2025",2025-08-09T20:31:44.045063
"Réhabilitation des infrastructures d'irrigation dans les CRDE au Niveau de Moheli Eastern and Southern Africa Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP - P177816 Invitation for Bids French August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372455,"Réhabilitation des infrastructures d'irrigation dans les CRDE au Niveau de Moheli Eastern and Southern Africa Food Systems Resilience Program for Eastern and Southern Africa (Phase 3) FSRP - P177816 Invitation for Bids French August 8, 2025",2025-08-09T20:31:44.081104
"Acquisition des diverses fournitures pour le bureau et le programme TMDH,FSP et FIAVOTA au sein de la Direction DIRF repartie en 5 lots Madagascar Madagascar Safety Nets and Resilience Project - P179466 Contract Award English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372456,"Acquisition des diverses fournitures pour le bureau et le programme TMDH,FSP et FIAVOTA au sein de la Direction DIRF repartie en 5 lots Madagascar Madagascar Safety Nets and Resilience Project - P179466 Contract Award English August 8, 2025",2025-08-09T20:31:44.122061
"Acquisition et installation des équipements de laboratoire Transition Puits Solutions Mauritania Development of Energy Resources and Mining Sector Support Phase 1 Project - P179383 Invitation for Bids French August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372457,"Acquisition et installation des équipements de laboratoire Transition Puits Solutions Mauritania Development of Energy Resources and Mining Sector Support Phase 1 Project - P179383 Invitation for Bids French August 8, 2025",2025-08-09T20:31:44.171061
"Rehabilitation of Dulangan FMR with Bridge Component Philippines Philippine Rural Development Project Scale-up - P180379 Contract Award English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372458,"Rehabilitation of Dulangan FMR with Bridge Component Philippines Philippine Rural Development Project Scale-up - P180379 Contract Award English August 8, 2025",2025-08-09T20:31:44.206066
"Selection of Individual consultant for Project Administrator South Africa Catalyzing Financing and Capacity for the Biodiversity Economy around Protected Areas Project - P170213 Request for Expression of Interest English August 8, 2025",World Bank,South Africa,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372459,"Selection of Individual consultant for Project Administrator South Africa Catalyzing Financing and Capacity for the Biodiversity Economy around Protected Areas Project - P170213 Request for Expression of Interest English August 8, 2025",2025-08-09T20:31:44.247061
"Expert on developing a national social taxonomy of Uzbekistan. Uzbekistan INnovative SOcial Protection System for inclusiON of Vulnerable People Project - P504420 Request for Expression of Interest English August 8, 2025",World Bank,,,,"August 8, 2025",,,http://projects.worldbank.org/en/projects-operations/procurement-detail/OP00372460,"Expert on developing a national social taxonomy of Uzbekistan. Uzbekistan INnovative SOcial Protection System for inclusiON of Vulnerable People Project - P504420 Request for Expression of Interest English August 8, 2025",2025-08-09T20:31:44.286063
